wavelength [nm], relative absorbance
500.00000, 0.60298723
500.01500, 0.60282197
500.03000, 0.60265727
500.04500, 0.60249311
500.06001, 0.60232948
500.07501, 0.60216639
500.09001, 0.60200381
500.10501, 0.60184173
500.12001, 0.60168015
500.13501, 0.60151905
500.15002, 0.60135840
500.16502, 0.60119821
500.18002, 0.60103845
500.19502, 0.60087910
500.21002, 0.60072015
500.22502, 0.60056159
500.24002, 0.60040339
500.25503, 0.60024554
500.27003, 0.60008802
500.28503, 0.59993081
500.30003, 0.59977391
500.31503, 0.59961728
500.33003, 0.59946092
500.34503, 0.59930481
500.36004, 0.59914894
500.37504, 0.59899329
500.39004, 0.59883786
500.40504, 0.59868262
500.42004, 0.59852758
500.43504, 0.59837272
500.45005, 0.59821803
500.46505, 0.59806351
500.48005, 0.59790916
500.49505, 0.59775497
500.51005, 0.59760094
500.52505, 0.59744707
500.54005, 0.59729337
500.55506, 0.59713983
500.57006, 0.59698646
500.58506, 0.59683327
500.60006, 0.59668027
500.61506, 0.59652747
500.63006, 0.59637487
500.64506, 0.59622250
500.66007, 0.59607036
500.67507, 0.59591847
500.69007, 0.59576686
500.70507, 0.59561552
500.72007, 0.59546449
500.73507, 0.59531379
500.75008, 0.59516343
500.76508, 0.59501343
500.78008, 0.59486383
500.79508, 0.59471463
500.81008, 0.59456586
500.82508, 0.59441754
500.84008, 0.59426970
500.85509, 0.59412235
500.87009, 0.59397552
500.88509, 0.59382922
500.90009, 0.59368348
500.91509, 0.59353831
500.93009, 0.59339374
500.94509, 0.59324977
500.96010, 0.59310643
500.97510, 0.59296372
500.99010, 0.59282166
501.00510, 0.59268026
501.02010, 0.59253953
501.03510, 0.59239947
501.05011, 0.59226009
501.06511, 0.59212139
501.08011, 0.59198337
501.09511, 0.59184603
501.11011, 0.59170937
501.12511, 0.59157338
501.14011, 0.59143805
501.15512, 0.59130337
501.17012, 0.59116933
501.18512, 0.59103592
501.20012, 0.59090312
501.21512, 0.59077091
501.23012, 0.59063928
501.24512, 0.59050819
501.26013, 0.59037763
501.27513, 0.59024758
501.29013, 0.59011800
501.30513, 0.58998888
501.32013, 0.58986017
501.33513, 0.58973187
501.35014, 0.58960392
501.36514, 0.58947631
501.38014, 0.58934901
501.39514, 0.58922198
501.41014, 0.58909520
501.42514, 0.58896863
501.44014, 0.58884225
501.45515, 0.58871602
501.47015, 0.58858993
501.48515, 0.58846394
501.50015, 0.58833803
501.51515, 0.58821218
501.53015, 0.58808636
501.54515, 0.58796055
501.56016, 0.58783474
501.57516, 0.58770890
501.59016, 0.58758304
