Wavelength [nm], absorption
500.00000, 0.86403338
500.02500, 0.86402645
500.05001, 0.86400930
500.07501, 0.86398290
500.10001, 0.86394831
500.12501, 0.86390670
500.15002, 0.86385928
500.17502, 0.86380733
500.20002, 0.86375213
500.22502, 0.86369495
500.25003, 0.86363706
500.27503, 0.86357964
500.30003, 0.86352383
500.32503, 0.86347066
500.35004, 0.86342102
500.37504, 0.86337570
500.40004, 0.86333531
500.42504, 0.86330031
500.45005, 0.86327094
500.47505, 0.86324728
500.50005, 0.86322921
500.52505, 0.86321640
500.55006, 0.86320830
500.57506, 0.86320419
500.60006, 0.86320313
500.62506, 0.86320401
500.65007, 0.86320553
500.67507, 0.86320625
500.70007, 0.86320457
500.72507, 0.86319879
500.75008, 0.86318709
500.77508, 0.86316759
500.80008, 0.86313836
500.82508, 0.86309743
500.85009, 0.86304285
500.87509, 0.86297270
500.90009, 0.86288511
500.92509, 0.86277830
500.95010, 0.86265062
500.97510, 0.86250054
501.00010, 0.86232671
501.02510, 0.86212796
501.05011, 0.86190335
501.07511, 0.86165217
501.10011, 0.86137395
501.12511, 0.86106851
501.15012, 0.86073598
501.17512, 0.86037674
501.20012, 0.85999154
501.22512, 0.85958142
501.25013, 0.85914776
501.27513, 0.85869226
501.30013, 0.85821696
501.32513, 0.85772422
501.35014, 0.85721672
501.37514, 0.85669745
501.40014, 0.85616967
501.42514, 0.85563691
501.45015, 0.85510297
501.47515, 0.85457183
501.50015, 0.85404766
501.52515, 0.85353478
501.55016, 0.85303760
501.57516, 0.85256060
501.60016, 0.85210824
501.62516, 0.85168496
501.65017, 0.85129509
501.67517, 0.85094280
501.70017, 0.85063206
501.72517, 0.85036656
501.75018, 0.85014970
501.77518, 0.84998448
501.80018, 0.84987349
501.82518, 0.84981885
501.85019, 0.84982217
501.87519, 0.84988454
501.90019, 0.85000646
501.92519, 0.85018786
501.95020, 0.85042805
501.97520, 0.85072577
502.00020, 0.85107913
502.02520, 0.85148568
502.05021, 0.85194238
502.07521, 0.85244568
502.10021, 0.85299151
502.12521, 0.85357536
502.15022, 0.85419229
502.17522, 0.85483701
502.20022, 0.85550394
502.22522, 0.85618723
502.25023, 0.85688086
502.27523, 0.85757869
502.30023, 0.85827451
502.32523, 0.85896211
502.35024, 0.85963533
502.37524, 0.86028811
502.40024, 0.86091455
502.42524, 0.86150898
502.45025, 0.86206594
502.47525, 0.86258029
502.50025, 0.86304721
502.52525, 0.86346223
502.55026, 0.86382128
502.57526, 0.86412071
502.60026, 0.86435729
502.62526, 0.86452826
502.65027, 0.86463133
502.67527, 0.86466472
502.70027, 0.86462711
502.72527, 0.86451774
502.75028, 0.86433636
502.77528, 0.86408323
502.80028, 0.86375917
502.82528, 0.86336555
502.85029, 0.86290425
502.87529, 0.86237771
502.90029, 0.86178890
502.92529, 0.86114132
502.95030, 0.86043898
502.97530, 0.85968639
503.00030, 0.85888851
503.02530, 0.85805078
503.05031, 0.85717902
503.07531, 0.85627942
503.10031, 0.85535849
503.12531, 0.85442302
503.15032, 0.85347997
503.17532, 0.85253645
503.20032, 0.85159963
503.22532, 0.85067665
503.25033, 0.84977455
503.27533, 0.84890020
503.30033, 0.84806019
503.32533, 0.84726075
503.35034, 0.84650770
503.37534, 0.84580631
503.40034, 0.84516132
503.42534, 0.84457678
503.45035, 0.84405608
503.47535, 0.84360186
503.50035, 0.84321601
503.52535, 0.84289961
503.55036, 0.84265298
503.57536, 0.84247566
503.60036, 0.84236643
503.62536, 0.84232336
503.65037, 0.84234384
503.67537, 0.84242467
503.70037, 0.84256207
503.72537, 0.84275180
503.75038, 0.84298923
503.77538, 0.84326940
503.80038, 0.84358712
503.82538, 0.84393707
503.85039, 0.84431385
503.87539, 0.84471206
503.90039, 0.84512643
503.92539, 0.84555182
503.95040, 0.84598332
503.97540, 0.84641632
504.00040, 0.84684652
504.02540, 0.84727001
504.05041, 0.84768331
504.07541, 0.84808335
504.10041, 0.84846752
504.12541, 0.84883370
504.15042, 0.84918023
504.17542, 0.84950592
504.20042, 0.84981006
504.22542, 0.85009236
504.25043, 0.85035297
504.27543, 0.85059243
504.30043, 0.85081164
504.32543, 0.85101183
504.35044, 0.85119451
504.37544, 0.85136144
504.40044, 0.85151454
504.42544, 0.85165590
504.45045, 0.85178768
504.47545, 0.85191207
504.50045, 0.85203123
504.52545, 0.85214727
504.55046, 0.85226215
504.57546, 0.85237766
504.60046, 0.85249537
504.62546, 0.85261658
504.65047, 0.85274229
504.67547, 0.85287317
504.70047, 0.85300952
504.72547, 0.85315126
504.75048, 0.85329794
504.77548, 0.85344869
504.80048, 0.85360224
504.82548, 0.85375698
504.85049, 0.85391087
504.87549, 0.85406158
504.90049, 0.85420642
504.92549, 0.85434246
504.95050, 0.85446649
504.97550, 0.85457513
505.00050, 0.85466482
505.02550, 0.85473192
505.05051, 0.85477273
505.07551, 0.85478354
505.10051, 0.85476071
505.12551, 0.85470068
505.15052, 0.85460007
505.17552, 0.85445568
505.20052, 0.85426457
505.22552, 0.85402412
505.25053, 0.85373202
505.27553, 0.85338636
505.30053, 0.85298568
505.32553, 0.85252894
505.35054, 0.85201562
505.37554, 0.85144572
505.40054, 0.85081981
505.42554, 0.85013902
505.45055, 0.84940508
505.47555, 0.84862035
505.50055, 0.84778781
505.52555, 0.84691104
505.55056, 0.84599429
505.57556, 0.84504242
505.60056, 0.84406088
505.62556, 0.84305571
505.65057, 0.84203351
505.67557, 0.84100137
505.70057, 0.83996686
505.72557, 0.83893793
505.75058, 0.83792287
505.77558, 0.83693021
505.80058, 0.83596863
505.82558, 0.83504690
505.85059, 0.83417371
505.87559, 0.83335764
505.90059, 0.83260696
505.92559, 0.83192958
505.95060, 0.83133293
505.97560, 0.83082380
506.00060, 0.83040827
506.02560, 0.83009160
506.05061, 0.82987814
506.07561, 0.82977126
506.10061, 0.82977326
506.12561, 0.82988536
506.15062, 0.83010762
506.17562, 0.83043896
506.20062, 0.83087718
506.22562, 0.83141895
506.25063, 0.83205984
506.27563, 0.83279444
506.30063, 0.83361638
506.32563, 0.83451842
506.35064, 0.83549259
506.37564, 0.83653023
506.40064, 0.83762217
506.42564, 0.83875880
506.45065, 0.83993023
506.47565, 0.84112634
506.50065, 0.84233697
506.52565, 0.84355197
506.55066, 0.84476135
506.57566, 0.84595531
506.60066, 0.84712440
506.62566, 0.84825952
506.65067, 0.84935206
506.67567, 0.85039387
506.70067, 0.85137739
506.72567, 0.85229564
506.75068, 0.85314225
506.77568, 0.85391149
506.80068, 0.85459830
506.82568, 0.85519828
506.85069, 0.85570771
506.87569, 0.85612353
506.90069, 0.85644337
506.92569, 0.85666554
506.95070, 0.85678901
506.97570, 0.85681342
507.00070, 0.85673907
507.02570, 0.85656693
507.05071, 0.85629862
507.07571, 0.85593637
507.10071, 0.85548308
507.12571, 0.85494226
507.15072, 0.85431803
507.17572, 0.85361509
507.20072, 0.85283873
507.22572, 0.85199478
507.25073, 0.85108956
507.27573, 0.85012989
507.30073, 0.84912300
507.32573, 0.84807651
507.35074, 0.84699835
507.37574, 0.84589669
507.40074, 0.84477989
507.42574, 0.84365640
507.45075, 0.84253467
507.47575, 0.84142306
507.50075, 0.84032977
507.52575, 0.83926272
507.55076, 0.83822948
507.57576, 0.83723714
507.60076, 0.83629227
507.62576, 0.83540082
507.65077, 0.83456802
507.67577, 0.83379840
507.70077, 0.83309565
507.72577, 0.83246267
507.75078, 0.83190148
507.77578, 0.83141325
507.80078, 0.83099833
507.82578, 0.83065624
507.85079, 0.83038570
507.87579, 0.83018474
507.90079, 0.83005068
507.92579, 0.82998027
507.95080, 0.82996975
507.97580, 0.83001491
508.00080, 0.83011120
508.02580, 0.83025382
508.05081, 0.83043780
508.07581, 0.83065809
508.10081, 0.83090967
508.12581, 0.83118758
508.15082, 0.83148703
508.17582, 0.83180345
508.20082, 0.83213256
508.22582, 0.83247040
