Electronic state, nu, energy [cm^-1]
X, 0, 107.1704517897393
X, 1, 320.5239165648601
X, 2, 532.5195490267264
X, 3, 743.160967408763
X, 4, 952.4517573562607
X, 5, 1160.3954719675626
X, 6, 1366.9956318341785
X, 7, 1572.2557250798482
X, 8, 1776.1792073985398
X, 9, 1978.769502091347
X, 10, 2180.030000102318
X, 11, 2379.964060053252
X, 12, 2578.5750082773493
X, 13, 2775.8661388518512
X, 14, 2971.840713629569
X, 15, 3166.50196226933
X, 16, 3359.853082265381
X, 17, 3551.897238975686
X, 18, 3742.6375656492437
X, 19, 3932.0771634524403
X, 20, 4120.219101494792
X, 21, 4307.066416854879
X, 22, 4492.622114608391
X, 23, 4676.889167863111
X, 24, 4859.870517811861
X, 25, 5041.5690738275225
X, 26, 5221.987713651241
X, 27, 5401.129283776992
X, 28, 5578.996600232925
X, 29, 5755.592450132554
X, 30, 5930.919594663124
X, 31, 6104.980774655593
X, 32, 6277.778720617914
X, 33, 6449.3161701926065
X, 34, 6619.595897486295
X, 35, 6788.6207606229655
X, 36, 6956.393776088487
X, 37, 7122.918230661828
X, 38, 7288.197843386188
X, 39, 7452.236990187063
X, 40, 7615.041001103898
X, 41, 7776.616533155404
X, 42, 7936.972009238293
X, 43, 8096.118094605903
X, 44, 8254.068158581033
X, 45, 8410.83864415182
X, 46, 8566.449249103529
X, 47, 8720.922818811947
X, 48, 8874.284871723443
X, 49, 9026.562727746614
B, 0, 15831.715211148065
B, 1, 15955.955893709244
B, 2, 16078.62395997863
B, 3, 16199.722054891088
B, 4, 16319.25277047349
B, 5, 16437.218645870627
B, 6, 16553.622167369147
B, 7, 16668.465768419446
B, 8, 16781.751829655648
B, 9, 16893.482678913537
B, 10, 17003.660591246542
B, 11, 17112.287788939706
B, 12, 17219.3664415217
B, 13, 17324.898665774836
B, 14, 17428.88652574305
B, 15, 17531.332032737995
B, 16, 17632.237145343035
B, 17, 17731.60376941537
B, 18, 17829.43375808602
B, 19, 17925.728911757997
B, 20, 18020.490978102316
B, 21, 18113.721652052158
B, 22, 18205.422575794935
B, 23, 18295.59533876244
B, 24, 18384.241477618958
B, 25, 18471.362476247385
B, 26, 18556.959765733398
B, 27, 18641.03472434755
B, 28, 18723.58867752545
B, 29, 18804.6228978459
B, 30, 18884.13860500703
B, 31, 18962.136965800462
B, 32, 19038.61909408343
B, 33, 19113.586050748967
B, 34, 19187.038843693994
B, 35, 19258.97842778548
B, 36, 19329.40570482457
B, 37, 19398.32152350868
B, 38, 19465.726679391628
B, 39, 19531.621914841715
B, 40, 19596.007918997806
B, 41, 19658.885327723405
B, 42, 19720.254723558694
B, 43, 19780.116635670554
B, 44, 19838.47153980061
B, 45, 19895.31985821116
B, 46, 19950.66195962918
B, 47, 20004.498159188228
B, 48, 20056.82871836837
B, 49, 20107.653844934037
