wavelength [nm], relative absorbance
500.00000, 1.00000000
500.01500, 0.99999087
500.03000, 0.99997967
500.04500, 0.99996621
500.06001, 0.99995030
500.07501, 0.99993176
500.09001, 0.99991040
500.10501, 0.99988605
500.12001, 0.99985854
500.13501, 0.99982769
500.15002, 0.99979334
500.16502, 0.99975532
500.18002, 0.99971348
500.19502, 0.99966765
500.21002, 0.99961768
500.22502, 0.99956342
500.24002, 0.99950472
500.25503, 0.99944144
500.27003, 0.99937344
500.28503, 0.99930058
500.30003, 0.99922272
500.31503, 0.99913973
500.33003, 0.99905149
500.34503, 0.99895787
500.36004, 0.99885875
500.37504, 0.99875402
500.39004, 0.99864355
500.40504, 0.99852724
500.42004, 0.99840499
500.43504, 0.99827670
500.45005, 0.99814226
500.46505, 0.99800158
500.48005, 0.99785459
500.49505, 0.99770119
500.51005, 0.99754130
500.52505, 0.99737486
500.54005, 0.99720180
500.55506, 0.99702206
500.57006, 0.99683559
500.58506, 0.99664234
500.60006, 0.99644227
500.61506, 0.99623534
500.63006, 0.99602154
500.64506, 0.99580085
500.66007, 0.99557325
500.67507, 0.99533876
500.69007, 0.99509737
500.70507, 0.99484912
500.72007, 0.99459402
500.73507, 0.99433213
500.75008, 0.99406348
500.76508, 0.99378814
500.78008, 0.99350619
500.79508, 0.99321771
500.81008, 0.99292279
500.82508, 0.99262156
500.84008, 0.99231411
500.85509, 0.99200061
500.87009, 0.99168118
500.88509, 0.99135600
500.90009, 0.99102523
500.91509, 0.99068907
500.93009, 0.99034772
500.94509, 0.99000140
500.96010, 0.98965033
500.97510, 0.98929476
500.99010, 0.98893496
501.00510, 0.98857119
501.02010, 0.98820374
501.03510, 0.98783291
501.05011, 0.98745901
501.06511, 0.98708238
501.08011, 0.98670334
501.09511, 0.98632226
501.11011, 0.98593950
501.12511, 0.98555544
501.14011, 0.98517045
501.15512, 0.98478495
501.17012, 0.98439934
501.18512, 0.98401404
501.20012, 0.98362947
501.21512, 0.98324608
501.23012, 0.98286429
501.24512, 0.98248457
501.26013, 0.98210736
501.27513, 0.98173313
501.29013, 0.98136233
501.30513, 0.98099544
501.32013, 0.98063291
501.33513, 0.98027522
501.35014, 0.97992282
501.36514, 0.97957620
501.38014, 0.97923580
501.39514, 0.97890208
501.41014, 0.97857550
501.42514, 0.97825650
501.44014, 0.97794552
501.45515, 0.97764298
501.47015, 0.97734931
501.48515, 0.97706492
501.50015, 0.97679018
501.51515, 0.97652549
501.53015, 0.97627121
501.54515, 0.97602768
501.56016, 0.97579523
501.57516, 0.97557417
501.59016, 0.97536480
501.60516, 0.97516738
501.62016, 0.97498216
501.63516, 0.97480936
501.65017, 0.97464917
501.66517, 0.97450178
501.68017, 0.97436733
501.69517, 0.97424593
501.71017, 0.97413767
501.72517, 0.97404263
501.74017, 0.97396083
501.75518, 0.97389227
501.77018, 0.97383693
501.78518, 0.97379475
501.80018, 0.97376564
501.81518, 0.97374948
501.83018, 0.97374611
501.84518, 0.97375536
501.86019, 0.97377699
501.87519, 0.97381077
501.89019, 0.97385642
501.90519, 0.97391362
501.92019, 0.97398203
501.93519, 0.97406127
501.95020, 0.97415095
501.96520, 0.97425063
501.98020, 0.97435985
501.99520, 0.97447812
502.01020, 0.97460493
502.02520, 0.97473972
502.04020, 0.97488194
502.05521, 0.97503099
502.07021, 0.97518626
502.08521, 0.97534712
502.10021, 0.97551290
502.11521, 0.97568294
502.13021, 0.97585654
502.14521, 0.97603300
502.16022, 0.97621159
502.17522, 0.97639160
502.19022, 0.97657227
502.20522, 0.97675285
502.22022, 0.97693259
502.23522, 0.97711073
502.25023, 0.97728650
502.26523, 0.97745913
502.28023, 0.97762787
502.29523, 0.97779194
502.31023, 0.97795060
502.32523, 0.97810309
502.34023, 0.97824867
502.35524, 0.97838662
502.37024, 0.97851621
502.38524, 0.97863675
502.40024, 0.97874754
502.41524, 0.97884793
502.43024, 0.97893726
502.44524, 0.97901491
502.46025, 0.97908027
502.47525, 0.97913279
502.49025, 0.97917189
502.50525, 0.97919708
502.52025, 0.97920785
502.53525, 0.97920374
502.55026, 0.97918435
502.56526, 0.97914926
502.58026, 0.97909813
502.59526, 0.97903063
502.61026, 0.97894649
502.62526, 0.97884546
