wavelength [nm], relative intensity
580.00000, 0.00000000
580.22022, 0.00000000
580.44044, 0.00000000
580.66066, 0.00000000
580.88088, 0.00000000
581.10110, 0.00000000
581.32132, 0.00000000
581.54154, 0.00000000
581.76176, 0.00000000
581.98198, 0.00000000
582.20220, 0.00000000
582.42242, 0.00000000
582.64264, 0.00000000
582.86286, 0.00000000
583.08308, 0.00000000
583.30330, 0.00000000
583.52352, 0.00000000
583.74374, 0.00000000
583.96396, 0.00000000
584.18418, 0.00000000
584.40440, 0.00000000
584.62462, 0.00000000
584.84484, 0.00000000
585.06507, 0.00000000
585.28529, 0.00000000
585.50551, 0.00000000
585.72573, 0.00000000
585.94595, 0.00000000
586.16617, 0.00000000
586.38639, 0.00000000
586.60661, 0.00000000
586.82683, 0.00000000
587.04705, 0.00000000
587.26727, 0.00000000
587.48749, 0.00000000
587.70771, 0.00000000
587.92793, 0.00000000
588.14815, 0.00000000
588.36837, 0.00000000
588.58859, 0.00000000
588.80881, 0.00000000
589.02903, 0.00000000
589.24925, 0.00000000
589.46947, 0.00000000
589.68969, 0.00000000
589.90991, 0.00000000
590.13013, 0.00000000
590.35035, 0.00000000
590.57057, 0.00000000
590.79079, 0.00000000
591.01101, 0.00000000
591.23123, 0.00000000
591.45145, 0.00000000
591.67167, 0.00000000
591.89189, 0.00000000
592.11211, 0.00000000
592.33233, 0.00000000
592.55255, 0.00000000
592.77277, 0.00000000
592.99299, 0.00000000
593.21321, 0.00000002
593.43343, 0.00000019
593.65365, 0.00000129
593.87387, 0.00000726
594.09409, 0.00003358
594.31431, 0.00012803
594.53453, 0.00040205
594.75475, 0.00103991
594.97497, 0.00221545
595.19520, 0.00388759
595.41542, 0.00561889
595.63564, 0.00668918
595.85586, 0.00655914
596.07608, 0.00529753
596.29630, 0.00352413
596.51652, 0.00193100
596.73674, 0.00087150
596.95696, 0.00032397
597.17718, 0.00009919
597.39740, 0.00002502
597.61762, 0.00000520
597.83784, 0.00000089
598.05806, 0.00000013
598.27828, 0.00000001
598.49850, 0.00000000
598.71872, 0.00000000
598.93894, 0.00000000
599.15916, 0.00000000
599.37938, 0.00000000
599.59960, 0.00000000
599.81982, 0.00000000
600.04004, 0.00000000
600.26026, 0.00000000
600.48048, 0.00000000
600.70070, 0.00000003
600.92092, 0.00000034
601.14114, 0.00000271
601.36136, 0.00001788
601.58158, 0.00009711
601.80180, 0.00043448
602.02202, 0.00160110
602.24224, 0.00485986
602.46246, 0.01215036
602.68268, 0.02502171
602.90290, 0.04244354
603.12312, 0.05930340
603.34334, 0.06825442
603.56356, 0.06471115
603.78378, 0.05054114
604.00400, 0.03252057
604.22422, 0.01724095
604.44444, 0.00753211
604.66466, 0.00271215
604.88488, 0.00080516
605.10511, 0.00019716
605.32533, 0.00003984
605.54555, 0.00000665
605.76577, 0.00000092
605.98599, 0.00000011
606.20621, 0.00000001
606.42643, 0.00000000
606.64665, 0.00000000
606.86687, 0.00000000
607.08709, 0.00000000
607.30731, 0.00000000
607.52753, 0.00000000
607.74775, 0.00000000
